nom	id	theme	description_v25
<Variable Tableau/Liste>.Ajoute	1000024299	gestion des tableaux (syntaxe objet)	Ajoute un élément en dernière position :d'un tableau WLangage à une dimension.d'une propriété tableau d'un type avancé (tableau des événements de gglA
<Zone répétée>.Cherche	1000023484	gestion des champs Zone répétée (syntaxe objet)	Recherche une valeur dans un attribut d'un champ Zone répétée.
AgentAffiche	3016007	Agent	Affiche l'agent géré par l'application.
AgentBeep	3016009	Agent	Émet un son.
AgentCache	3016001	Agent	Cache un agent.
AgentChoix	3016002	Agent	Affiche un message contenant un titre, une liste de choix, une icône et une combinaison de boutons.
AgentConseil	3016003	Agent	Affiche un message contenant un texte, une icône et une combinaison de boutons.
AgentCrée	3016017	Agent	Initialise un agent pour une application.
AgentDéplace	3016004	Agent	Déplace et/ou redimensionne la fenêtre d'un agent.
AgentHauteur	3016018	Agent	Renvoie la hauteur de la fenêtre d'un agent.
AgentLargeur	3016014	Agent	Renvoie la largeur de la fenêtre d'un agent.
AgentMessage	3016016	Agent	Affiche un message contenant un titre, un texte, une icône et une combinaison de boutons.
AgentPosX	3016012	Agent	Renvoie la position horizontale de la fenêtre d'un agent.
AgentPosY	3016010	Agent	Renvoie la position verticale de la fenêtre d'un agent.
AgentSaisie	3016013	Agent	Affiche un message contenant un titre, un texte, une icône, une combinaison de boutons et une zone de saisie.
AgentTermine	3016015	Agent	Supprime un agent de la mémoire.
ArbreTri	3018021	Arbre	La fonction ArbreTri est conservée uniquement pour compatibilité.
BinaireCharge	3044264	Hyper File compatibles	Charge un fichier binaire dans une rubrique de type mémo binaire 4.1 (initialise un mémo binaire avec le contenu d'un fichier).
BinaireInfo	3044275	Hyper File compatibles	Permet de connaître les informations d'un mémo binaire 4.1 (type, nom, date, heure et taille du fichier d'origine).
BinaireSauve	3044274	Hyper File compatibles	Sauve le contenu d'une rubrique mémo binaire 4.1 dans un fichier.
cdbAjoute	3022001	manipulation d'une base CEDB	Ajoute l'enregistrement présent en mémoire dans un fichier de données (base de données standard du Terminal Mobile ou de type ".CDB").
cdbAnnuleRecherche	3022010	manipulation d'une base CEDB	Annule le critère de recherche en cours (base de données standard du Terminal Mobile ou de type ".CDB").
cdbCol	3022002	manipulation d'une base CEDB	Renvoie une caractéristique d'une colonne de l'enregistrement en cours (valeur, type, identifiant ou nom) dans une base de données standard du Termina
cdbDateHeureVersEntier	3022014	manipulation d'une base CEDB	Transforme une variable de type DateHeure en une valeur compatible avec une colonne de type date et heure (entier sans signe sur 8 octets).
cdbEcritCol	3022003	manipulation d'une base CEDB	Modifie la valeur d'une colonne d'un enregistrement en mémoire.
cdbEnDehors	3022011	manipulation d'une base CEDB	Permet de savoir si l'enregistrement sur lequel on veut se positionner est en dehors du fichier.
cdbEntierVersDateHeure	3022006	manipulation d'une base CEDB	Transforme la valeur d'une colonne de type date et heure (entier sans signe sur 8 octets) en une variable de type DateHeure.
cdbFerme	3022007	manipulation d'une base CEDB	Ferme une base de données (fichier ".CDB") préalablement ouverte avec la fonction cdbOuvre.
cdbListeFichier	3022005	manipulation d'une base CEDB	Renvoie la liste des fichiers de données présents dans une base de données CEDB.
cdbLit	3022004	manipulation d'une base CEDB	Lit un enregistrement dans un fichier en fonction d'un numéro d'enregistrement donné.
cdbLitDernier	3022009	manipulation d'une base CEDB	Positionne sur le dernier enregistrement d'un fichier et lit cet enregistrement.
cdbLitPrécédent	3022022	manipulation d'une base CEDB	Positionne sur l'enregistrement précédent d'un fichier et lit cet enregistrement.
cdbLitPremier	3022019	manipulation d'une base CEDB	Positionne sur le premier enregistrement d'un fichier et lit cet enregistrement.
cdbLitRecherche	3022018	manipulation d'une base CEDB	Positionne sur le premier enregistrement d'un fichier de données dont la valeur d'une colonne spécifique est égale à une valeur recherchée (recherche 
cdbLitSuivant	3022016	manipulation d'une base CEDB	Positionne sur l'enregistrement suivant d'un fichier et lit cet enregistrement.
cdbModifie	3022017	manipulation d'une base CEDB	Modifie l'enregistrement spécifié ou l'enregistrement présent en mémoire dans le fichier de données.
cdbNbCol	3022015	manipulation d'une base CEDB	Renvoie le nombre de colonnes de l'enregistrement en mémoire.
cdbNbEnr	3022023	manipulation d'une base CEDB	Renvoie le nombre d'enregistrements présents dans un fichier de données.
cdbNumEnr	3022020	manipulation d'une base CEDB	Renvoie le numéro de l'enregistrement en cours dans un fichier de données.
cdbOuvre	3022013	manipulation d'une base CEDB	Ouvre une base de données (fichier ".CDB") sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
cdbRAZ	3022021	manipulation d'une base CEDB	Ré-initialise toutes les variables d'une des structures des bases de données standard du Terminal Mobile (Pocket PC).
cdbSupprime	3022008	manipulation d'une base CEDB	Supprime l'enregistrement en cours ou l'enregistrement spécifié dans le fichier de données.
cdbTrouve	3022012	manipulation d'une base CEDB	Vérifie si l'enregistrement en cours correspond à la recherche en cours.
ceConnecte	3023001	accès aux Terminaux Mobiles (Pocket PC)	Connecte le poste en cours à un Terminal Mobile (Pocket PC).
ceCopieFichier	3023010	accès aux Terminaux Mobiles (Pocket PC)	Copie un ou plusieurs fichiers :présents sur le poste en cours vers le Terminal Mobile (Pocket PC) connecté.présents sur le Terminal Mobile (Pocket PC
ceCréeRaccourci	3023034	accès aux Terminaux Mobiles (Pocket PC)	Crée un raccourci sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
ceDateFichier	3023002	accès aux Terminaux Mobiles (Pocket PC)	Renvoie ou modifie les différentes dates d'un fichier (date de création, de modification ou d'accès).
ceDéconnecte	3023012	accès aux Terminaux Mobiles (Pocket PC)	Ferme la connexion entre le poste en cours et le Terminal Mobile (Pocket PC).
ceEtatAlimentation	3023006	accès aux Terminaux Mobiles (Pocket PC)	Permet de connaître diverses informations sur la batterie (principale ou de secours) du Terminal Mobile (Pocket PC).
ceEtatConnexion	3023023	accès aux Terminaux Mobiles (Pocket PC)	Permet de connaître l'état de la connexion entre le poste en cours et un Terminal Mobile (Pocket PC).
ceFenEnumère	3023007	gestion des fenêtres	Permet d'énumérer les fenêtres Windows actuellement ouvertes sur le Terminal Mobile (Pocket PC).
ceFenTitre	3023005	gestion des fenêtres	Renvoie le titre de la fenêtre Windows spécifiée.
ceFichierExiste	3023008	accès aux Terminaux Mobiles (Pocket PC)	Teste l'existence d'un fichier présent sur le Terminal Mobile (Pocket PC) connecté au poste en cours.
